order_item_id,order_id,product_id,quantity,unit_price,discount_rate
1,1,20,1,74.84,0.0
2,1,152,1,53.67,0.04
3,1,250,2,39.01,0.0
4,1,217,3,46.83,0.12
5,1,211,2,39.29,0.14
6,2,233,2,70.55,0.12
7,2,20,2,74.84,0.04
8,3,243,1,43.86,0.03
9,4,97,2,117.36,0.05
10,4,197,1,39.27,0.02
11,4,164,1,169.31,0.08
12,5,45,1,32.38,0.04
13,5,228,1,88.21,0.07
14,5,168,3,21.23,0.01
15,5,69,2,103.69,0.0
16,5,89,3,77.15,0.15
17,6,228,3,88.21,0.01
18,7,111,1,182.45,0.0
19,7,34,1,38.12,0.0
20,7,83,1,26.04,0.06
21,7,169,1,7.59,0.06
22,8,210,2,24.68,0.13
23,8,154,1,20.8,0.0
24,8,221,1,62.19,0.04
25,8,247,1,3.0,0.0
26,8,183,3,51.6,0.12
27,9,145,2,33.96,0.07
28,9,163,1,42.88,0.02
29,9,13,2,3.0,0.02
30,9,127,1,17.85,0.0
31,10,161,1,25.25,0.09
32,10,11,2,41.56,0.05
33,10,60,2,29.84,0.15
34,10,183,1,51.6,0.0
35,10,219,3,76.43,0.1
36,11,157,1,3.0,0.11
37,11,170,1,3.44,0.15
38,11,28,1,55.12,0.08
39,12,34,3,38.12,0.05
40,12,177,2,167.22,0.04
41,12,135,3,56.14,0.03
42,13,70,1,56.02,0.0
43,13,248,2,53.13,0.09
44,13,87,1,3.0,0.1
45,13,50,2,72.46,0.12
46,13,134,3,92.77,0.07
47,14,180,1,68.83,0.1
48,14,182,1,24.08,0.08
49,14,170,1,3.44,0.02
50,15,140,1,92.12,0.05
51,15,37,1,26.14,0.05
52,15,179,1,82.75,0.11
53,15,112,3,112.86,0.11
54,16,135,1,56.14,0.01
55,16,242,1,81.79,0.06
56,17,78,2,73.93,0.13
57,17,87,2,3.0,0.0
58,17,31,1,30.29,0.09
59,17,65,1,29.03,0.09
60,18,249,1,30.36,0.02
61,18,82,1,31.47,0.09
62,19,214,1,16.27,0.11
63,19,225,1,70.21,0.0
64,20,69,2,103.69,0.2
65,20,30,1,12.2,0.04
66,21,14,1,3.0,0.05
67,21,24,1,35.44,0.11
68,21,67,1,176.71,0.15
69,21,247,1,3.0,0.03
70,21,125,3,43.16,0.09
71,22,122,3,8.31,0.17
72,22,158,1,77.9,0.15
73,22,164,1,169.31,0.1
74,22,159,1,107.34,0.09
75,23,104,2,50.55,0.04
76,23,173,2,49.16,0.11
77,23,77,2,41.0,0.02
78,23,1,1,186.97,0.07
79,23,186,1,38.19,0.03
80,24,204,1,71.94,0.0
81,24,206,1,3.0,0.01
82,24,45,1,32.38,0.02
83,24,152,1,53.67,0.05
84,25,177,2,167.22,0.18
85,25,170,4,3.44,0.05
86,26,69,1,103.69,0.02
87,26,13,1,3.0,0.11
88,27,104,1,50.55,0.0
89,27,94,1,59.24,0.02
90,27,198,1,145.28,0.12
91,27,214,1,16.27,0.07
92,28,30,1,12.2,0.02
93,28,154,3,20.8,0.07
94,29,227,1,84.58,0.04
95,30,65,1,29.03,0.17
96,30,54,1,99.19,0.03
97,30,80,1,76.98,0.1
98,30,75,1,76.58,0.01
99,31,20,1,74.84,0.0
100,31,69,2,103.69,0.17
101,31,105,1,102.18,0.16
102,31,133,1,35.11,0.03
103,31,149,1,48.65,0.1
104,32,248,1,53.13,0.0
105,32,86,3,13.3,0.03
106,32,169,1,7.59,0.01
107,32,65,1,29.03,0.03
108,32,238,1,37.39,0.06
109,33,115,5,148.94,0.06
110,34,54,1,99.19,0.13
111,34,208,1,3.0,0.02
112,34,31,2,30.29,0.04
113,34,172,1,153.5,0.0
114,35,99,2,44.69,0.03
115,36,76,1,34.08,0.0
116,37,145,1,33.96,0.0
117,37,83,1,26.04,0.0
118,37,87,1,3.0,0.04
119,37,96,1,64.8,0.08
120,37,90,1,172.02,0.0
121,38,50,1,72.46,0.03
122,38,43,3,57.98,0.14
123,39,208,1,3.0,0.0
124,40,146,1,89.69,0.09
125,40,45,1,32.38,0.0
126,41,93,1,3.0,0.1
127,41,38,1,74.84,0.04
128,41,104,1,50.55,0.0
129,41,172,1,153.5,0.1
130,42,94,1,59.24,0.03
